Test case,Difficulty LevelTime (A),Space (A),Time (B),Space (B),Time (C),Space (C),Time (D),Space (D),Time (E),Space (E)
1,easy,0.002000093460083008,44,0.003999948501586914,44,0.004999876022338867,44,0.009000062942504883,44,0.002000093460083008,44
2,easy,0.006000041961669922,52,0.003999948501586914,52,0.004999876022338867,52,0.013000011444091797,52,0.004999876022338867,52
3,easy,0.013000011444091797,81,0.010999917984008789,87,0.006999969482421875,63,0.009999990463256836,61,0.003999948501586914,79
4,easy,0.003999948501586914,46,0.003999948501586914,46,0.004999876022338867,46,0.009999990463256836,46,0.003000020980834961,46
5,easy,0.003999948501586914,46,0.005000114440917969,46,0.006000041961669922,46,0.010999917984008789,46,0.003000020980834961,46
6,moderate,0.006999969482421875,71,0.004999876022338867,52,0.010999917984008789,82,0.010999917984008789,52,0.003000020980834961,52
7,moderate,0.21399998664855957,1515,0.04500007629394531,308,0.07700014114379883,488,0.024000167846679688,147,0.014000177383422852,232
8,moderate,0.10900020599365234,776,0.05500006675720215,384,0.023000001907348633,166,0.026999950408935547,174,0.017000198364257812,348
9,moderate,0.03800010681152344,270,0.08599996566772461,536,0.03600001335144043,187,0.04399991035461426,215,0.02499985694885254,451
10,moderate,0.03900003433227539,267,0.05900001525878906,373,0.04900002479553223,267,0.03500008583068848,178,0.017999887466430664,278
11,hard,0.18999981880187988,1374,0.10500001907348633,704,1.066999912261963,7341,0.06100010871887207,290,0.03400015830993652,575
12,hard,0.013000011444091797,100,0.02500009536743164,161,0.17200016975402832,1186,0.02200007438659668,82,0.008999824523925781,153
13,hard,0.16699981689453125,1279,0.05099987983703613,330,0.0820000171661377,556,0.032000064849853516,187,0.014999866485595703,302
14,hard,0.3839998245239258,2856,0.23199987411499023,1665,0.19900012016296387,1230,0.18699979782104492,659,0.08999991416931152,1266
15,hard,0.023000001907348633,155,0.05900001525878906,334,0.05299997329711914,302,0.039999961853027344,185,0.031999826431274414,323
